id,date,jev_domain,jev_domain_name,jev_depth,jev_is_substantive,jev_has_rule,is_mental_model,is_featured,likes,retweets,replies,views,text,images_count,local_images,url
2065307748611592676,2026-06-12 05:38:33,mindset_risk,交易心法,2.38,0.95,0.13,🧠 核心思维,⭐ JEV精选,210,21,42,75618,"最近有不少朋友来问我为什么跟crcl杠上了，AI这么火为什么不去追AI？

其实不是跟Crcl杠上了，AI标的和其他山寨币我都在玩，但是在做短线交易，我不可能开个单就发个帖子。

最近我在想的一个问题：如果让我挑一批可以长拿并且现在可以建仓的标的，有哪些要求？符合这些要求的标的有哪些？

想了想，我对于建仓长拿标的的要求是：
1. 持仓周期是至少放心拿3-5年（这个“放心”很重要，因为我自己要足够懂它的周期，或者它自身已经有足够长的时间证明自己，比如qqq）
2. 标的在一个快速增长的市场里，有至少5-10年的可预见增长（有足够的成长股安全垫），且有足够好的护城河
3. 现在价格相对低价（因为如果是长拿就不怕等建仓机会，短线则无所谓，今天追了，下周平了我也无所谓什么估值高低，主要还是看情绪）

在我的认知里（有分歧很正常）：
盘一盘哪些明显不符合以上要求？哪些有些符合？哪些全都符合？还有哪些是我不确定的？

首先明显不符合的：几乎所有中概股，A股，黄金白银贵金属（年初就已经看顶），山寨币（包括eth，eth比较适合做周期波段交易）

符合1和2要求的标的：Apple，Nvda，Google，QQQ，OEF

符合123要求的标的：涉及到3就一定不会是AI相关的标的，而在Crypto赛道，BTC，Crcl（其实我也想把Hype加进去，但严格按这个标准来说，还不是）

那些我不确定的：
存储股：三星，海力士，SNDK，MU。不符合3，符合2，不确定符不符合1
Mag7的其他家：微软，Meta，Tesla，我不那么确定
消费类的价值股：符合1和3，不符合2
AI产业链更细分的就更不在我的开枪范围了，因为我不够懂，比如光通信的Lumentum，Coherent，Nokia，芯片的Marvell，博通，这些跟着qqq的波动做做短线得了，让我重仓梭进去追高我也拿不住，更不会知道什么时候该止损。

现在是crypto每四年一次的播种季，麻将固然好玩，但不能误了农时，不然明年这个时候又要愁下一把麻将钱去哪找了。",0,,https://x.com/Michael_Liu93/status/2065307748611592676
2071440177621561628,2026-06-29 03:46:38,mindset_risk,交易心法,2.23,0.94,0.53,🧠 核心思维,⭐ JEV精选,78,8,2,12702,现在就是把做空键抠掉，然后根据你对底部的判断，去计划抄底时间表的时候。比如你看最低到5w，那就6w、5w、分别抄1/3，然后留1/3到万一跌到4w抄，就算跌不到4w，这部分资金也可以灵活配置，到时候牛初启动了追涨也行。周期底部的时候最忌讳的就是觉得自己能完美判断底，一点容错空间不给自己留的。,0,,https://x.com/Michael_Liu93/status/2071440177621561628
2033738181137600839,2026-03-17 02:52:22,mindset_risk,交易心法,2.12,0.93,0.85,🧠 核心思维,⭐ JEV精选,131,7,38,212681,正好前几天有小伙伴问我怎么看CRCL，就拿这个方法来看大区间的交易机会，走势已经出higher high了，跌了半年多的趋势开始逆转了，你要想进就等个higher low再进，赌不会出lower low，如果出了就止损跑 https://t.co/FqiTp4VV8K,1,images/2033738181137600839_0.jpg,https://x.com/Michael_Liu93/status/2033738181137600839
2033734220678631537,2026-03-17 02:36:37,mindset_risk,交易心法,2.05,0.96,0.19,🧠 核心思维,⭐ JEV精选,182,23,26,66839,"之前聊过这个话题，熊市不要盯着突破做交易，或者觉得某个区间破了行情就来了，小区间的突破放大一个区间你会发现一百个阻力位。

牛市多Bear Trap，熊市多Bull Trap，但趋势是你的朋友，盯着lower high和lower low你就不会对趋势错判， 要做右侧就等趋势变了再去做，在此之前任何突破都当烟雾弹。 https://t.co/ZyFfz95DgV",2,images/2033734220678631537_0.jpg;images/2033734220678631537_1.jpg,https://x.com/Michael_Liu93/status/2033734220678631537
2071437321661256072,2026-06-29 03:35:17,mindset_risk,交易心法,2.04,0.93,0.23,🧠 核心思维,⭐ JEV精选,408,34,35,335162,给大家个建议，就算你觉得还有最后一跌，现在也一定一定不要再空单思维了。没人知道周期底部是5w还是4w，但节奏很关键，假设你6w抄一半，就算极限跌到4万，你再抄一半，平均成本5w只比现在价格跌了16%，但如果这个位置你开着空单，反弹到7w（完全有可能），你同样也是亏16%，而这种反弹会把你的节奏完,0,,https://x.com/Michael_Liu93/status/2071437321661256072
2049203068311584965,2026-04-28 19:04:18,mindset_risk,交易心法,2.03,0.91,0.17,,⭐ JEV精选,20,2,1,5241,今天有人问我为什么我白银看到5开头，却在72附近平了一大半空单。原因是因为我觉得原油短期到顶了，这俩资产近期几乎是完全负相关，所以先止盈一部分，有反弹了再逢高空进去。(蓝色是wti原油价格，蜡烛图是白银 https://t.co/MlTJQujw32,1,images/2049203068311584965_0.png,https://x.com/Michael_Liu93/status/2049203068311584965
2077800519205323180,2026-07-16 17:00:22,mindset_risk,交易心法,2.0,0.93,0.05,🧠 核心思维,⭐ JEV精选,232,24,48,73146,"我发现这波被套在存储上的人全都是盯着低p/e和存储需求仍然很坚挺被套的。

但只要你想明白了今年存储公司利润的暴涨几乎都是asp涨价带来的，你炒存储股跟炒内存条的价格本质上没区别时，可能也就没这么fomo，止损起来也就没这么难了。",0,,https://x.com/Michael_Liu93/status/2077800519205323180
2019441976803037288,2026-02-05 16:04:21,mindset_risk,交易心法,1.99,0.94,0.12,🧠 核心思维,⭐ JEV精选,211,30,23,76159,"这个位置想抄的，不是说不能抄，一定会有反弹，但熊市接针博反弹是个性价比特别差的交易。

熊市越后期反弹越弱。你赌个10-15%的周反弹，但往下10-15%一天就能完成，博反弹不如等反弹空。",0,,https://x.com/Michael_Liu93/status/2019441976803037288
2069985221941060008,2026-06-25 03:25:10,mindset_risk,交易心法,1.98,0.95,0.05,🧠 核心思维,⭐ JEV精选,192,20,101,58254,"趋势的反转需要时间，不管是熊转牛还是牛转熊，越成熟的资产反转需要的时间越久，而相对应的，趋势持续的时间也就越久。但很多人的策略里只有看空和看多的观点，并不包含时间这个因子，有可能你对一个资产的观点是对了，但交易就是做错了，你如果看好一个资产未来5-10年，不应该被未来5-10天的波动影响了决策，相对应的，如果你看好一个资产未来5-10天的价格，就不要被一个资产未来5-10年的叙事洗了脑。

know the timeframe you trade",0,,https://x.com/Michael_Liu93/status/2069985221941060008
1974856132918485201,2025-10-05 15:16:07,mindset_risk,交易心法,1.94,0.93,0.63,🧠 核心思维,⭐ JEV精选,251,35,43,53141,"好早之前就买过的教训，我在币圈有“两不参与”：
1. 永远不参与非套利质押
2. 永远不在第一阶段有造富效应后入场第二阶段（特别是撸毛, 你听过哪个项目一期二期都有大毛的吗？）

本来币圈玩的就是零和博弈的游戏，当大家都挤着去一个地方赚钱，如果都赚钱那谁赔钱呢？",0,,https://x.com/Michael_Liu93/status/1974856132918485201
