id,createdAt,goldScore,domain,favoriteCount,retweetCount,viewsCount,hasArticle,url,text
2015260817076408708,2026-01-25 03:09,9.8,07_crypto_daily_intel_review,254,77,54141,True,https://x.com/0xcryptowizard/status/2015260817076408708,https://t.co/3Vc7q3p9qI
2016322853654954266,2026-01-28 01:30,9.8,03_fhe_cryptography_privacy,235,31,43709,True,https://x.com/0xcryptowizard/status/2016322853654954266,https://t.co/hY86zkcPA4
2001461647219814907,2025-12-18 01:16,9.8,07_crypto_daily_intel_review,69,1,38493,True,https://x.com/0xcryptowizard/status/2001461647219814907,https://t.co/539hON9Bv5
2053314158247215493,2026-05-10 03:20,9.8,07_crypto_daily_intel_review,52,7,16954,True,https://x.com/0xcryptowizard/status/2053314158247215493,https://t.co/zAvv4XVFBX
2086943453825622125,2026-08-10 22:31,9.8,07_crypto_daily_intel_review,0,1989,3394,True,https://x.com/0xcryptowizard/status/2086943453825622125,http://x.com/i/article/2086933422921117696
2059482010993971287,2026-05-27 03:49,10.0,01_ai_compute_investing,876,191,205036,False,https://x.com/0xcryptowizard/status/2059482010993971287,"0基础学习 AI 投资 🧵  AI 是当前最热的主题： 美股头部 hyperscaler，一半以上现金流投入 capex； 从 GPU 到 HBM，再到光互连，每个环节，轮流暴涨。  x上 噪音 &gt; 信号, 看了也不知如何下手。  我整理了一份系统学习 ai 投资的免费教程: https://t.co/WMzsUSODtY 🇨🇳 https://t.co/7acSyLIBF1 🌍  1/n https://t.co/JcjWkck3ds"
1777551587780776026,2024-04-09 04:18,10.0,05_chain_alpha_alert_agents,458,166,317485,False,https://x.com/0xcryptowizard/status/1777551587780776026,我想用几个事实，来做一个关于 bicoin 生态未来的推论：  🌟事实1：bitcoin 很适合做资产发行。  理由： 1️⃣足够去中心化； 2️⃣足够安全； 3️⃣已承载足够大体量的资金。  🌟事实2：bitcoin 主链需要 L2 扩展  理由： 1️⃣为保证足够去中心化和安全性，主链不会提速，扩容区块等； 2️⃣主链具备有限的智能合约能力，不适合运行更复杂的应用； 3️⃣如果未来有mass adoption发生，主链绝对无法承载； 4️⃣主链上发行的资产，需要得到充分的应用和流动性。  🌟事实3：未来，这样的扩展，需要足够去中心化/无需许可  理由： 1️⃣现阶段，也许为了速度和体量做一些妥协； 2️⃣未来，若不能真正实现对主链拓展过程，是足够去中心化/无需许可的，那所有基于bitcoin资产发行的意义，基础将经不起推敲。  🌟推论：web5=web2+web3 会是 bitcoin 生态未来的路。  理由：  1️⃣基于事实1，bitcoin适合做资产发行。  当前和未来会出现一些胜出的资产协议，基于这些协议发行的资产规模将达到千亿甚至万亿美金规模。  2️⃣基于事实2，bitocin主链需要拓展。  基于主链发行的资产，在主链上去获取流动性和智能合约能力，是绝对不能满足这样大规模需求的。  所以，我们需要L2甚至L3，去完成发行资产之后的事情。  3️⃣基于事实3，我们需要一条可行的路，完成主链与L2/L3之间的无需许可+去中心化的链接。  目前有几条路线在探索，长线我最看好的就是“同构绑定”，因为它直接省略了“跨链”，让utxo-base的智能合约公链直接去承载所有的资产应用行为。  4️⃣未来会是什么样子？  让我们来展望未来：  L1 一层 我们会在主链上有若干个被市场选择的资产发行协议，他们大部分会是基于utxo发行，具备主链安全性的；  L2 二层 我们会通过同构绑定，将这些资产以很btc的方式跨到L2上，让这些资产获得图灵完备的智能合约能力；  L3 三层 我们会通过L2和L3之间的“通道”，如闪电网络，rgb的客户端验证，类似nostr的点对点通讯协议，让能承载几亿用户的额应用以web2的形式在 L3 上运行。  同时，这些应用是可以与L2上的各种具备智能合约能力的 btc 主链发行资产进行快捷的/无需许可的/去中心化的交互和流动。  这就是我们能够展望的未来，一个web5的世界。  一个真正能够在资产上具备 web3 一切特性：去中心化的，无需许可的，主权个人特征的。  以及，能够不受区块链本身各种限制，作出 web2 级别应用承载数亿用户的dapp，与web3的资产进行无缝的链接，以真正crypto的方式。  这才是我们能看到的 btc 生态的未来，一个真正激动人心的，btc与btc生态资产能够自由的，快速的流动在L1/L2/L3上的世界。
2065780938261553247,2026-06-13 12:58,9.8,01_ai_compute_investing,825,157,147341,False,https://x.com/0xcryptowizard/status/2065780938261553247,基于 Serenity 最近12个月的3300条推文，我做了一个完整 AI 产业链图谱，可以非常清晰看到公司彼此关系，谁在瓶颈上。  已经发到 Wizz AI 情报：https://t.co/RiHhP3mWjC  在频道置顶里，点击“打开图谱”随时可以看。 https://t.co/USGTHEC1dE
1879052555898216842,2025-01-14 06:26,9.4,01_ai_compute_investing,519,46,172358,False,https://x.com/0xcryptowizard/status/1879052555898216842,一年前，我判断 btc 生态是牛市发动机，原因是： “老技术新玩法，新叙事新希望，批量产生新资产。”  还有，当时各条链都在上铭文，几乎所有链的活跃都集中在铭文，这是币圈最重要的链上活跃。  不止我一个人，整个市场，不管是交易所，公链，项目方，vc，还是trader的认知，应该都是 btc 生态是最重要的资产品类。  一年后，btc 生态有一些冷清，我也在反思之前的判断错误在哪里。  根本原因，btc 生态是一个更大的趋势里面的一个分支，这个更大的趋势是：链上资产发行。 这一点，我在今年10月才想清楚，之后就根据新的判断在执行我的操作。  我现在依然认为 btc 生态会是一直独立存在的一个赛道，但对铭文的判断显然失误了，他并没有真的成为持续火热的资产发行方式。  但btc生态作为一个赛道，还是会持续存在下去，我也依然希望这个赛道能跑出好的资产和玩法。  今天，我对 ai 的看好，前面说了很多原因：包括对币圈各个赛道的生产力提升，以及这也是当前全球科技和金融行业最重要的主题。  所以，我对 ai 的判断，在当下是坚定的，也会把全部精力和大量资金投入在其中。  但1年后，2年后，或者4年后，ai是不是依然能证明和 crypto能很好的结合，我不知道。  如果证明是错误的，那我一样会承认今天的判断有问题。  至于买入和卖出，ordi的买入和止盈我都在推上公开讲过，就像最近的 ai 操作一样。  买入因为看好，止盈因为达到市值和盈利目标；判断也许会错，但我们总要做出投资判断。  错了不丢人，毕竟没有人是神，坚持错误判断才是投资最大问题。
1883717738927202736,2025-01-27 03:24,9.4,01_ai_compute_investing,429,54,404274,False,https://x.com/0xcryptowizard/status/1883717738927202736,我持有的大部分 ai 标的，都跌破了买入成本。  ai 赛道结束了么？ 我认为结束了，也没结束。  什么结束了？  goat开启的，只展现“个性”的ai agent，尤其是粗制滥造的一批 ai 标的结束了，这些都是“数字人”，元宇宙。  龙头 infra ，目前主要是在批量制造这类标的。 这也是为什么这些 infra 也在跌。  前面我一直在讲，目前看不到主线。  如果说有主线，就是： 如何制作更聪明，能做更多事的 ai agent。  什么没结束？  需要新的叙事，开启 ai 标的下一个阶段的主线。  goat 和 aixbt 靠粉丝增长，带来了“流量价值”； 一些defai标的，试图用ai来促进“意图交易”，提升defi使用效率和用户友好，需要持续证明“价值”。  很多标的都在这条“新主线”努力，等这批标的开始逐渐证明他们确实能够给生产力带来提升，那整个 ai 赛道又会迎来新的主升浪。  新的主升浪里，还是炒现在这些标的么？ 看他们能不能契合届时的主线，能契合的继续涨，不能契合的被市场放弃归零。  这也是链上标的的特点，快速的竞争/淘汰。
