Tweet_ID,Date,Likes,Retweets,Views,Tags,Tweet_URL,Media_Count,Text
2096243776478118384,Sat Sep 05 14:27:17 +0000 2026,43,0,18243,交易心智,https://x.com/gch_enbsbxbs/status/2096243776478118384,0,我自己通常不会拿土狗，因为我看叙事能力不行。  分不清 哪个土狗能拿 或者不能拿。 我通常 都是用LP 然后 配合K线 来进行 波段（分钟或者秒级）。什么时候进 什么时候出。  不过这几天 听劝 跟着 @efo_xx  已经上车了几个币（这些币我已经持仓几天了），猛的 有4倍，差的也翻倍了。 老哥 打狗的能力
2096079739404550551,Sat Sep 05 03:35:27 +0000 2026,3,0,1249,衍生品套利,https://x.com/gch_enbsbxbs/status/2096079739404550551,0,@seaify1 每个显示器 都是一台独立的电脑 如果你同时做很多事情 你就不回这么问了。套利 打狗，开发脚本等
2095540867306283493,Thu Sep 03 15:54:10 +0000 2026,71,1,14818,衍生品套利,https://x.com/gch_enbsbxbs/status/2095540867306283493,0,polymarket 也开perps了。 套利佬的路径 又多了一条。 要快点接入了，刚开始 的利润通常比较高。最近确实有点忙。  平台自身的实力就不必说了。 如果撸预测 撸不动了。 不妨试试perps。 看了一下 还是比较全的。  我其实就喜欢玩这种 链上的 项目。 纯cex 真没啥意思。 目前看 流动性 很不错。
2095532770768703732,Thu Sep 03 15:22:00 +0000 2026,17,0,8107,交易心智,https://x.com/gch_enbsbxbs/status/2095532770768703732,0,有时候 我自己也是一个矛盾体。 这一波 crcl 距离目标建仓 就只建仓了1/3。 就像很多人说的，聊的人多了。 反而不敢买。 不过我也持有hood coinbase （更早之前的推文说过 我常年做长线波段coinbase） 总体仓位 虽然没打满。但是也还行。 而且前几天 顶着压力104 加仓了一笔hood
2095471022506184789,Thu Sep 03 11:16:38 +0000 2026,85,6,13791,衍生品套利,https://x.com/gch_enbsbxbs/status/2095471022506184789,0,今天看见一个人 套利爆仓了500wu。  我感觉很多人 喜欢把我打上 套利的标签。 我不太喜欢。 过去接近一年 大部分时间 我确实在做perp套利。 那是因为 整个行业 没有什么特别的玩法。 你总不可能让我就把钱放在交易所 吃那几个点的利息吧。  铭文 ，NFT空投。我也都玩。 包括什么交互撸毛 存钱
2095421021369094503,Thu Sep 03 07:57:57 +0000 2026,47,0,11704,衍生品套利,https://x.com/gch_enbsbxbs/status/2095421021369094503,0,收费建群 是筛选，也是让我对这个市场保持敏锐度。 不管收费不收费。 如果你有我微信 我都愿意跟你聊。 但是 很多人 即便加了我微信，也很少人我聊。  更关键的是 很多人 跟不上我的节奏。 因为 我可能上个月 还在套利，这个月 就改别的。 就比如 今年 我就已经切换了很多赛道。 预测 套利
2095407005544685712,Thu Sep 03 07:02:15 +0000 2026,103,1,70096,衍生品套利,https://x.com/gch_enbsbxbs/status/2095407005544685712,0,做了 一个决定。 我准备 创建一个收费社区。 因为最近的一些变化，比如这一波LP，包括之前的海力士套利。每次公开之后，收益直线下滑， 人人都赚钱 最终是不现实的。 所以 我做了这个决定，原本 我是不打算做商业化的。 但是经过思考 我决定改变这个想法。
2095359054772420635,Thu Sep 03 03:51:43 +0000 2026,56,0,10462,交易心智,https://x.com/gch_enbsbxbs/status/2095359054772420635,0,我一直 缺个比较好的。打狗的脚本。 这一波 过后 准备弄一下。 已经有些思路了。 自动找狗，打狗和 组LP。
2095303372526211076,Thu Sep 03 00:10:27 +0000 2026,28,0,8207,交易心智,https://x.com/gch_enbsbxbs/status/2095303372526211076,0,用交易的思维组LP，我也是pons的一员了🤪
2095098071252435344,Wed Sep 02 10:34:39 +0000 2026,24,0,8889,交易心智,https://x.com/gch_enbsbxbs/status/2095098071252435344,0,事实上 LP 和 trader 是对手盘。 所以 LP爆发了， trader  转向LPer， 谁来交易？
